"x"
-0.101222
0.791404
0.562395
-0.413666
1.82572
-0.192694
-0.739378
1.54439
-1.06491
0.382804
-1.6166
1.70875
-2.06718
0.150865
2.74609
-1.45731
-1.39627
-0.803723
2.50866
-2.12682
-1.76929
1.75506
0.684724
-2.00698
1.35957
0.205055
-1.94599
1.10207
1.16316
0.244121
0.593069
0.0123525
0.652865
2.55536
-0.955921
0.17465
-3.41841
0.460271
-2.43791
0.914979
0.648703
-3.67234
1.62022
0.244875
2.54511
-0.794879
0.24732
-0.775699
2.00364
-1.7594
0.947234
0
