ParName   Value   Gradient
parm_dev[2](2004)     0.372694 -3.95969e-007
parm_dev[2](2005)     0.599238 -6.67638e-007
parm_dev[2](2006)    -0.626513 -1.14837e-007
parm_dev[2](2007)      0.36545 -5.54715e-007
parm_dev[2](2008)     0.378672 7.15228e-007
parm_dev[2](2009)     0.698953 -4.87869e-007
parm_dev[2](2010)     0.113367 2.78303e-008
parm_dev[2](2011)      1.01306 2.41213e-006
parm_dev[2](2012)     0.170969 2.57923e-006
parm_dev[2](2013)     0.809774 9.74594e-008
parm_dev[2](2014)     0.275701 7.68783e-007
parm_dev[2](2015)     0.282862 4.64016e-007
parm_dev[2](2016)    -0.783108 4.47726e-007
parm_dev[2](2017)     -0.44692 1.62806e-006
parm_dev[2](2018)    -0.862526 3.80389e-006
parm_dev[2](2019)    -0.441635  6.1041e-006
parm_dev[3](1991)    -0.834903 -2.44218e-007
parm_dev[3](1992)    -0.158671 4.38191e-007
parm_dev[3](1993)    0.0616412  2.4336e-007
parm_dev[3](1994)     0.845253 -1.20324e-007
parm_dev[3](1995)     0.244748 7.07084e-007
parm_dev[3](1996)     -0.26679 -4.13399e-007
parm_dev[3](1997)     -0.13908 -6.68002e-007
parm_dev[3](1998)    -0.615253 -2.49666e-007
parm_dev[3](1999)     0.111616 3.27996e-007
parm_dev[3](2000)    -0.202137 2.05636e-007
parm_dev[3](2001)     0.324358 9.01568e-007
parm_dev[3](2002)     0.555767 1.24441e-006
parm_dev[3](2003)      0.60484  2.2041e-007
parm_dev[3](2004)      0.67299 -3.81051e-007
parm_dev[3](2005)     0.648572 -7.67594e-007
parm_dev[3](2006)    0.0509303 -2.05132e-006
parm_dev[3](2007)    -0.256004 -6.43337e-007
parm_dev[3](2008)    -0.529314  5.9621e-007
parm_dev[3](2009)     -0.12579 -1.69923e-006
parm_dev[3](2010)     0.483135 -1.20908e-008
parm_dev[3](2011)    -0.710168 7.20569e-006
parm_dev[3](2012)     0.225144 1.41413e-006
parm_dev[3](2013)    -0.249483 -1.75401e-006
parm_dev[3](2014)    -0.384118 5.97332e-007
parm_dev[3](2015)   -0.0628497 -1.89625e-007
parm_dev[3](2016)  -0.00870106 7.19721e-007
parm_dev[3](2017)     0.032908 1.47748e-005
parm_dev[3](2018)     -0.15228 3.76528e-006
parm_dev[3](2019)    -0.417288 1.41149e-005
parm_dev[4](1991)   -0.0364377 -9.62668e-007
parm_dev[4](1992)     -0.50542 6.18944e-007
parm_dev[4](1993)   -0.0445157 -5.44353e-007
parm_dev[4](1994)    -0.124109 2.91417e-007
parm_dev[4](1995)     0.705692 3.48606e-007
