"indicator" "value"
"B<0.10B0" 0
"B>0.10<0.4B0" 47.51
"B>0.4B0" 52.49
"3 consec yrs B<B40" 0.39
"yrs closed fishery" 10
"AAV" 0.16
"Mean SSB/SSB0" 0.415480185422742
"median Catch" 160404.242980035
