Year,Nsamples,Country,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
2017,151,Can,0.038167149,0.004411304,0.075811294,0.020350386,0.041114454,0.062983742,0.48913564,0.128399965,0.082149624,0.017952559,0.018100075,0.012728835,0.001737761,0.001683533,0.00527368
2018,130,Can,0.003228115,0.049349747,0.013670429,0.203923864,0.017801526,0.042586465,0.055865079,0.397527564,0.111586754,0.048107038,0.025257326,0.010875032,0.00829859,0.009404407,0.002518064
1975,13,USA,0.046077954,0.338460662,0.074317926,0.012484988,0.253973746,0.055455945,0.08030992,0.105372895,0.00952999,0.006026994,0.008714991,0.004514995,0,0.004758995,0
1976,142,USA,0.000847001,0.013368013,0.144738145,0.067417067,0.040972041,0.245818246,0.097657098,0.088994089,0.120986121,0.054313054,0.043033043,0.040745041,0.010684011,0.023553024,0.006874007
1977,320,USA,0,0.084477,0.036825,0.274728,0.035936,0.091059,0.226822,0.075989,0.065442,0.040155,0.035504,0.023076,0.005718,0.003075,0.001194
1978,341,USA,0.004717215,0.011104483,0.065112379,0.063099063,0.264163092,0.060912087,0.088679336,0.215046072,0.097758419,0.047109747,0.046797685,0.023386263,0.005216012,0.003532884,0.003365265
1979,116,USA,0,0.064920817,0.102411205,0.093820792,0.057209544,0.176664612,0.10256204,0.173700584,0.127617911,0.041798063,0.028761139,0.009633325,0.016453457,0,0.00444651
1980,221,USA,0.00147574,0.005438548,0.300870101,0.018552308,0.044878211,0.081654696,0.112271221,0.050119993,0.089414847,0.110755218,0.094597075,0.026279793,0.037852096,0.015160505,0.010679647
1981,154,USA,0.194925761,0.040304528,0.014025969,0.267260419,0.039012782,0.055477136,0.033755951,0.14675418,0.037688537,0.031953216,0.101848607,0.023129182,0.005039007,0.00162582,0.007198905
1982,170,USA,0,0.320501946,0.035207972,0.004858339,0.273465646,0.015258265,0.036803814,0.038941552,0.117639441,0.032684568,0.03611193,0.076454159,0.002414474,0.003018092,0.006639802
1983,117,USA,0,0,0.341442341,0.03996504,0.018245018,0.234579235,0.051260051,0.056473056,0.052997053,0.093831094,0.039096039,0.031277031,0.022589023,0.011295011,0.006950007
1984,123,USA,0,0,0.013930443,0.619041234,0.036246591,0.038492712,0.167782226,0.0285269,0.015088286,0.012386118,0.033415907,0.009228401,0.005860052,0.014386657,0.00561447
1985,56,USA,0.009374726,0.001041566,0.003124698,0.069507564,0.674338288,0.084658837,0.055113648,0.069034083,0.019886155,0.005208462,0.006628841,0.002083132,0,0,0
1986,120,USA,0,0.153442196,0.053853858,0.005266116,0.007610715,0.436339341,0.06897017,0.081532645,0.082600293,0.021888013,0.028168985,0.018336253,0.031336133,0.004566616,0.006088665
1987,56,USA,0,0,0.295828724,0.029043906,0.001347254,0.010130279,0.532601023,0.004041438,0.012501734,0.070912599,0,0.007436095,0.018590575,0.017566374,0
1988,81,USA,0,0.008638816,0,0.381227901,0.010465405,0.014958893,0.001304744,0.394967518,0.009799307,0.005189281,0.112105681,0.008638816,0,0,0.052703638
1989,77,USA,0,0.072944927,0.031572968,0.003265997,0.501360499,0.016330984,0.003265997,0.001088999,0.321175679,0.023407977,0.001088999,0.023407977,0.001088999,0,0
1990,158,USA,0,0.070830602,0.243345304,0.013713825,0.008076609,0.256920284,0.003655246,0.002724256,0.00057948,0.312601736,0.00170143,0.000909717,0.073751585,0,0.011189926
1991,142,USA,0,0.0434332,0.255268902,0.235147178,0.02618896,0.008922031,0.21969623,0.013890558,0.001823787,0.002154719,0.13778191,0.00490297,0,0.041777042,0.009012514
1992,210,USA,0.005980117,0.055008438,0.054226245,0.14734752,0.196048136,0.019956715,0.012559548,0.296721363,0.009360035,0.001007457,0.004124253,0.163506375,0.005237849,0.000231708,0.028684242
1993,144,USA,0,0.014011448,0.311902985,0.034157182,0.132623093,0.153534641,0.012601582,0.010052288,0.225564795,0.008326909,0.001210202,0.000470401,0.0856448,0.000500197,0.009399476
