Year,fleet,obs,se(log)
1995,2,1318035,0.0893
1996,-2,1,1
1997,-2,1,1
1998,2,1569148,0.0479
1999,-2,1,1
2000,-2,1,1
2001,2,861744,0.1059
2002,-2,1,1
2003,2,2137528,0.0642
2004,-2,1,1
2005,2,1376099,0.0638
2006,-2,1,1
2007,2,942721,0.0766
2008,-2,1,1
2009,2,1502273,0.0995
2010,-2,1,1
2011,2,674617,0.1177
2012,2,1279421,0.0673
2013,2,1929235,0.0646
2014,-2,1,1
2015,2,2155853,0.0829
2016,-2,1,1
2017,2,1417811,0.0632
2018,-2,1,1
