"HCR","climate","catch","SSB","AAV"
"HCR0","0",0,0,0
"MD","0",-14.71526954877,-14.1729122747218,41.9004160215139
"AC","0",-9.73129114916698,-28.1173797362207,69.0593883180579
"HCR0","02",14.6117286258132,13.5499268237982,-29.3185704337547
"MD","02",-11.0715624558521,-8.10877330840123,37.212655536812
"AC","02",-2.34561914013998,-4.2820848637213,42.2868705984883
"HCR0","04",17.7750547188917,18.8845732172186,-32.4649892651272
"MD","04",7.94390120042383,5.79393492586752,-4.37499317539998
"AC","04",9.22096801694722,-8.98145232052714,27.7065832511816
