"x"
-0.652159
-0.23564
-0.279309
-0.329064
-0.385211
-0.447967
-0.516524
-0.593692
-0.674842
-0.757134
-0.84299
-0.926226
-1.00458
-1.06973
-1.10329
-1.07724
-0.966062
-0.800415
-0.551746
-0.205044
