1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0.592354,-0.0215715,-0.0174072,0.0654065,-0.294918,0.494571,0.0560867,0.216798,1.12413,0.622036,0.0304458,0.0188383,-0.00360727,0.265221,-0.00505673,1.00298,0.623543,-0.0245485,0.470303,1.03985,0.0271758,0.108827,0.161675,0.424726,-0.645164,-0.0192386,-0.878768
0.335392,0.786876,0.788958,0.0998807,0.208178,-0.409939,1.264,0.918307,-0.179413,0.771853,0.932203,0.672251,0.644537,0.366935,0.587012,-0.61511,0.348454,0.35502,0.707845,0.118072,1.06925,0.129173,0.872685,0.299833,0.366352,-1.05568,-0.186415
-0.836257,-0.160481,0.060425,0.84767,0.236107,-0.263793,-0.132352,-0.613554,0.107825,-0.192513,0.323374,0.555672,0.595627,0.667787,0.637369,0.050138,-0.264432,-0.524151,-0.136759,0.464491,-0.689207,0.220668,-0.263577,-0.285405,-0.0131398,0.168546,-0.0996903
-0.0369555,-0.505815,-0.0415495,-0.123593,0.70666,-0.0856414,-0.374172,0.361413,-0.391131,0.185572,-0.17954,0.174456,0.278663,-0.644595,0.399252,0.144839,-0.164821,0.400206,-0.35154,-0.420194,-0.188218,-0.469697,-2.30E-05,-0.0430089,0.0545434,-0.0590363,0.00443545
-0.155169,0.0856559,-0.441156,0.105778,-0.126961,0.351942,0.157854,-0.486165,-0.236635,-0.0712506,-0.235559,-0.449424,-0.263695,-0.121808,-0.557893,-0.346538,-0.00502294,-0.177662,0.174912,-0.581364,-0.493821,-0.344713,0.0826471,0.00834959,-0.50342,-0.19672,0.215696
