"year","Country","variable","agecomp","n"
2012,"US","X9",0.409974701775259,707
2012,"US","X10",0.125791352265256,707
2012,"US","X11",0.184352421804064,707
2012,"US","X12",0.315433232098688,707
2012,"US","X13",0.312848930774288,707
2012,"US","X14",0.213636995522715,707
2012,"US","X15",0.227029399793356,707
2013,"Can","X1",0,115
2013,"Can","X2",0,115
2013,"Can","X3",1.86506765679726,115
2013,"Can","X4",5.11326092365404,115
2013,"Can","X5",9.25263124653103,115
2013,"Can","X6",3.54112365786905,115
2013,"Can","X7",23.5699686118395,115
2013,"Can","X8",9.80397538708875,115
2013,"Can","X9",4.8901133036039,115
2013,"Can","X10",11.094696357825,115
2013,"Can","X11",1.0613062450956,115
2013,"Can","X12",2.83597733927922,115
2013,"Can","X13",4.28530689582576,115
2013,"Can","X14",20.1314480659917,115
2013,"Can","X15",2.54223793756818,115
2013,"US","X1",0.0335211146469425,979
2013,"US","X2",0.601872108024426,979
2013,"US","X3",77.7281653048938,979
2013,"US","X4",6.01089029844328,979
2013,"US","X5",10.6155737077492,979
2013,"US","X6",0.853498580889309,979
2013,"US","X7",1.2215832114905,979
2013,"US","X8",1.19687503225252,979
2013,"US","X9",0.469027221123248,979
2013,"US","X10",0.326050743958029,979
2013,"US","X11",0.171384019953556,979
2013,"US","X12",0.0623680657091253,979
2013,"US","X13",0.114871333964049,979
2013,"US","X14",0.362599036724865,979
2013,"US","X15",0.230623505633439,979
2014,"Can","X1",0,105
2014,"Can","X2",0,105
2014,"Can","X3",0.680181129496198,105
2014,"Can","X4",13.9072280921596,105
2014,"Can","X5",11.0301794207274,105
2014,"Can","X6",24.3867473585282,105
2014,"Can","X7",6.7324680317831,105
2014,"Can","X8",14.3511443055279,105
2014,"Can","X9",8.10578247372768,105
2014,"Can","X10",3.66078460968872,105
2014,"Can","X11",3.63060177142369,105
2014,"Can","X12",1.09981972488822,105
2014,"Can","X13",1.37210919032837,105
2014,"Can","X14",1.62596445760829,105
2014,"Can","X15",9.40698943411272,105
2014,"US","X1",0,1025
2014,"US","X2",3.62712978082555,1025
2014,"US","X3",4.02258421262005,1025
2014,"US","X4",69.2620640284908,1025
2014,"US","X5",6.53755259618481,1025
2014,"US","X6",11.0034415124363,1025
2014,"US","X7",1.07187266286537,1025
2014,"US","X8",2.02793547898236,1025
2014,"US","X9",1.20682555077762,1025
2014,"US","X10",0.542976908067969,1025
2014,"US","X11",0.149378506885904,1025
2014,"US","X12",0.0188227092765538,1025
2014,"US","X13",0.074742844153138,1025
2014,"US","X14",0.142872757582072,1025
2014,"US","X15",0.308236185568963,1025
2015,"Can","X1",1.1795516407077,80
2015,"Can","X2",0.161622057563385,80
2015,"Can","X3",1.96851580220777,80
2015,"Can","X4",2.65731664902465,80
2015,"Can","X5",60.7886027521549,80
2015,"Can","X6",10.5543308634508,80
2015,"Can","X7",11.5661777307324,80
2015,"Can","X8",2.3951766722113,80
2015,"Can","X9",4.57831770754574,80
2015,"Can","X10",2.06934422097888,80
