ParName   Value   Gradient
parm_dev[2](2006)    -0.618176 -8.46959e-06
parm_dev[2](2007)     0.363613    2.129e-06
parm_dev[2](2008)       0.3758 -9.11487e-06
parm_dev[2](2009)     0.701208 -5.18943e-06
parm_dev[2](2010)     0.112268 -6.48213e-07
parm_dev[2](2011)      1.05179 -1.24571e-05
parm_dev[2](2012)     0.144769 -3.21509e-06
parm_dev[2](2013)     0.808302  6.25337e-07
parm_dev[2](2014)     0.179173 -5.92167e-06
parm_dev[2](2015)     0.476555  -9.9536e-06
parm_dev[2](2016)    -0.924775  -0.00010029
parm_dev[2](2017)    -0.295628 -4.09027e-06
parm_dev[2](2018)    -0.940426 -1.11511e-05
parm_dev[3](1991)     -0.84166  3.92656e-06
parm_dev[3](1992)    -0.156569 -8.29528e-06
parm_dev[3](1993)    0.0583176   3.0857e-06
parm_dev[3](1994)     0.849957  1.45412e-06
parm_dev[3](1995)     0.240499  2.65227e-06
parm_dev[3](1996)    -0.267276 -5.14705e-06
parm_dev[3](1997)    -0.139307 -1.15148e-05
parm_dev[3](1998)    -0.620464 -7.34687e-06
parm_dev[3](1999)     0.106246 -5.77762e-06
parm_dev[3](2000)    -0.199346  -3.0138e-06
parm_dev[3](2001)     0.318446 -4.77736e-06
parm_dev[3](2002)     0.551922 -5.45933e-06
parm_dev[3](2003)     0.600982  4.97419e-07
parm_dev[3](2004)     0.673627 -3.02756e-06
parm_dev[3](2005)     0.641977 -6.29662e-06
parm_dev[3](2006)    0.0502069 -5.94312e-06
parm_dev[3](2007)     -0.26958 -2.54228e-06
parm_dev[3](2008)    -0.533328 -2.38916e-05
parm_dev[3](2009)    -0.119879 -3.28152e-05
parm_dev[3](2010)      0.46914  3.74345e-06
parm_dev[3](2011)    -0.710539 -4.18006e-05
parm_dev[3](2012)     0.223408  1.20147e-06
parm_dev[3](2013)    -0.267096 -6.97568e-06
parm_dev[3](2014)    -0.373522 -4.02122e-06
parm_dev[3](2015)    -0.146151 -1.29434e-05
parm_dev[3](2016)     0.262573 -0.000102119
parm_dev[3](2017)     -0.14207 -8.80084e-05
parm_dev[3](2018)   -0.0495677 -9.54522e-06
parm_dev[4](1991)   -0.0370475 -3.56138e-08
parm_dev[4](1992)    -0.507551 -9.83749e-06
parm_dev[4](1993)   -0.0433635 -6.25909e-07
parm_dev[4](1994)    -0.123592 -1.26334e-05
parm_dev[4](1995)     0.709638  4.78908e-06
parm_dev[4](1996)   -0.0878306 -5.65898e-06
parm_dev[4](1997)    -0.374931 -9.83281e-06
parm_dev[4](1998)     0.360573  3.89377e-07
parm_dev[4](1999)    -0.395042 -1.09182e-05
parm_dev[4](2000)     0.189041 -1.99899e-05
parm_dev[4](2001)    -0.181945 -7.90172e-06
parm_dev[4](2002)     0.174602 -4.21901e-06
parm_dev[4](2003)     0.283269 -5.48516e-06
parm_dev[4](2004)    -0.654456 -1.03066e-05
parm_dev[4](2005)     0.404371 -6.49596e-06
parm_dev[4](2006)     0.138893 -1.45478e-05
parm_dev[4](2007)    -0.174445 -8.66725e-06
parm_dev[4](2008)      0.40713 -2.73482e-05
parm_dev[4](2009)    -0.324612 -4.85941e-05
parm_dev[4](2010)    -0.455777  5.24015e-06
parm_dev[4](2011)    -0.206758 -4.08539e-05
parm_dev[4](2012)    -0.472646  1.96277e-05
parm_dev[4](2013)   0.00818058 -6.91963e-06
parm_dev[4](2014)   -0.0317636 -4.72323e-05
parm_dev[4](2015)   -0.0567294 -1.87222e-05
parm_dev[4](2016)    -0.201863 -0.000106238
parm_dev[4](2017)     0.182714 -9.53032e-05
parm_dev[4](2018)    -0.154679 -0.000129083
parm_dev[5](1991)    -0.155161 -1.38695e-06
parm_dev[5](1992)    0.0866684 -1.50081e-06
parm_dev[5](1993)    -0.440769 -1.85538e-07
parm_dev[5](1994)     0.107442 -8.26764e-06
parm_dev[5](1995)    -0.125261  1.13865e-06
parm_dev[5](1996)     0.355524 -4.56839e-06
parm_dev[5](1997)     0.160025 -7.08805e-06
parm_dev[5](1998)    -0.483637  -3.7789e-06
parm_dev[5](1999)    -0.235089 -1.18278e-05
parm_dev[5](2000)   -0.0731757 -3.99734e-06
parm_dev[5](2001)    -0.232488 -9.48042e-07
parm_dev[5](2002)    -0.449375 -8.55828e-06
parm_dev[5](2003)    -0.260888 -5.47684e-06
parm_dev[5](2004)    -0.120705 -1.05454e-05
parm_dev[5](2005)    -0.556889  -8.5616e-06
parm_dev[5](2006)    -0.339249 -3.15125e-05
parm_dev[5](2007)  -0.00610995 -8.39622e-06
parm_dev[5](2008)    -0.182619  -3.2427e-05
parm_dev[5](2009)     0.191516 -5.04371e-05
parm_dev[5](2010)     -0.57546  2.01795e-05
parm_dev[5](2011)    -0.481596 -3.80125e-05
parm_dev[5](2012)    -0.345461  2.00358e-05
parm_dev[5](2013)    0.0775781 -1.97675e-05
parm_dev[5](2014)   0.00204641 -5.52952e-05
parm_dev[5](2015)    -0.493304 -1.02168e-05
parm_dev[5](2016)    -0.318348 -0.000113167
parm_dev[5](2017)    -0.192358  -8.7089e-05
parm_dev[5](2018)     0.397165 -0.000129511
