"x"
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1318040
1
1
1534600
1
1
861744
1
2137530
1
1376100
1
942721
1
1502270
1
674617
1279420
1929240
1
2155850
1
1417810
1
