"year","temp100","temp100_anomaly"
1995,7.84688199939637,-0.0253058944952915
1998,8.06900617165588,0.381609154886593
2001,7.51399012916966,-0.108105947420356
2003,7.18063218783765,-0.342218195612796
2005,7.74937145964598,0.0047882196485638
2007,7.37985478271617,-0.331584031430868
2009,7.57762656682713,-0.154358334531711
2011,7.56488269172607,-0.0348104385514727
2012,7.52777780964049,-0.16986215703877
2013,7.58479895883022,-0.222673157667705
2015,8.32567680816352,0.501749672037114
2017,8.17616969474722,0.385084904761144
