Rdev
0.5261
1.5203
1.0659
-0.2556
2.1265
-0.2185
-0.6585
1.6911
-1.0572
0.5233
-1.5741
1.8132
-2.0099
0.2425
2.7852
-1.3383
-1.2073
-0.7454
2.5445
-2.0532
-1.7333
1.789
0.6539
-2.1783
1.3874
0.1312
-2.0583
1.1089
1.1702
0.2027
0.6
0.0526
0.6923
2.5964
-1.0658
0.2319
-3.4592
0.483
-2.776
0.985
0.6845
-3.6576
1.7151
0.3531
2.7031
-0.7975
0.3814
-0.8901
2.1233
-1.8784
1.1849
0.0252
